"","Genes","Beta"
"1","APOC1","0"
"2","ATAD2","0"
"3","BL2a","-1.079"
"4","BRCA1","-0.187"
"5","BRWD1","-0.04"
"6","C7orf23","-1.4"
"7","CAPSL","0.562"
"8","CAXII","-0.07"
"9","CD34","-0.298"
"10","CKS2","0.683"
"11","EDG1","-0.125"
"12","EGFR","1.749"
"13","ERBB4","-0.021"
"14","FAM210A","0.938"
"15","GABRP","0"
"16","GATA3","-0.017"
"17","GSKIP","-0.936"
"18","HBEGF","0.015"
"19","HER2","0.011"
"20","HYMAI","-0.009"
"21","IL10","-0.001"
"22","IL10RA","-0.01"
"23","IL6ST","-0.005"
"24","IRF2","-0.386"
"25","KDR","-0.055"
"26","LECT2","0.546"
"27","MAPRE2","-0.038"
"28","MELK","0"
"29","NQO1","0.009"
"30","PDHA1","2.561"
"31","PTGDS","-0.028"
"32","PTP4A2","0.739"
"33","RERG","-0.026"
"34","RIPK1","0.867"
"35","SOD2","-0.008"
"36","ST8SIA1","-0.002"
"37","TBC1D9","-2.099"
"38","TCEAL1","-0.013"
"39","TGFBR1","-0.014"
"40","TRAPPC2L","-0.012"
"41","TRIM29","0.022"
