"","Genes","Beta"
"1","ATAD2","-0.242"
"2","BL2a","-4.046"
"3","BRCA1","-2.051"
"4","BRCA2","-2.526"
"5","C7orf23","-0.335"
"6","CAPSL","0.049"
"7","CAXII","-0.107"
"8","CD34","-0.11"
"9","CETN1","0.024"
"10","CMTM7","0.028"
"11","EDG1","-0.088"
"12","EGFR","0.018"
"13","ERBB4","-0.054"
"14","ESR1","-0.382"
"15","EVL","-0.002"
"16","FAM210A","0.043"
"17","GATA3","-0.021"
"18","GSKIP","-0.053"
"19","HBEGF","0.048"
"20","HER2","0.022"
"21","IL10","-0.049"
"22","IRF2","-3.391"
"23","MELK","-0.001"
"24","MSX1","0.971"
"25","NAT1","0.04"
"26","NAT2","-2.089"
"27","NCOA1","-0.103"
"28","PAPPA","-1.338"
"29","PDHA1","1.437"
"30","PFKP","0.904"
"31","PLK1","-0.016"
"32","PTGDS","-1.199"
"33","RABEP1","0.022"
"34","RERG","-0.085"
"35","SOD1","0.848"
"36","TBC1D9","-0.003"
"37","TGFB1","-0.055"
"38","TGFBR1","-1.657"
"39","TPBG","1.927"
"40","TRIM29","0.05"
"41","YTHDC2","-0.065"
