"","Genes","Beta"
"1","APOC1","-0.03"
"2","ATAD2","-0.004"
"3","BL2a","-0.02"
"4","BRCA1","-1.393"
"5","C7orf23","-2.886"
"6","CAXII","-2.07"
"7","CENPA","0.02"
"8","CETN1","2.387"
"9","CKS2","0.016"
"10","CRMP1","0.005"
"11","CTNNBL1","0.009"
"12","CYP1A1","-1.311"
"13","ERBB4","-0.06"
"14","FAM210A","0.634"
"15","FUT8","0.009"
"16","HYMAI","0.186"
"17","IL10","-0.378"
"18","IL10RA","-0.375"
"19","LECT2","0.014"
"20","NAT1","0.01"
"21","PAPPA","-0.03"
"22","PDHA1","-0.001"
"23","PGR","-0.004"
"24","RABEP1","0.273"
"25","RERG","-0.093"
"26","SCUBE2","0.122"
"27","SLC396ALIV1","-0.002"
"28","SOD2","-0.007"
"29","TBC1D9","-0.011"
"30","TCEAL1","0.054"
"31","TGFB1","0.016"
"32","THAP4","0.019"
"33","TPBG","0.005"
"34","TRIM29","3.923"
"35","VEGFA.TV2","-0.038"
"36","XBP1","0.473"
