"","Genes","Beta"
"1","BL2a","-0.03"
"2","BRCA1","-0.205"
"3","C7orf23","-2.287"
"4","CAXII","-0.041"
"5","CD34","-0.01"
"6","CETN1","2.437"
"7","CHRNA7","0.004"
"8","CTNNBL1","0.056"
"9","CYP1A1","-0.049"
"10","EDG1","-0.008"
"11","ERBB4","-0.043"
"12","FAM210A","0.016"
"13","FUT8","0.007"
"14","HYMAI","0.045"
"15","IL10","-0.281"
"16","IL10RA","0"
"17","IRF2","0.032"
"18","LRBA","-0.002"
"19","PAPPA","-0.006"
"20","RERG","-0.064"
"21","RIPK1","0.007"
"22","SCUBE2","0.033"
"23","SDF1tv2","-0.002"
"24","SOD2","-0.013"
"25","TBC1D9","-0.003"
"26","THAP4","0.042"
"27","TRIM29","1.719"
"28","UBE2F","0.005"
"29","VEGFA.TV2","-0.007"
"30","XBP1","0.042"
