"","Genes","Beta"
"1","BL2a","-2.682"
"2","BRCA1","-0.817"
"3","BRCA2","-1.464"
"4","C7orf23","-0.053"
"5","CAPSL","0.001"
"6","CAXII","-0.027"
"7","CD34","-0.035"
"8","EDG1","-0.028"
"9","ERBB4","-0.015"
"10","ESR1","-0.034"
"11","GSKIP","-0.003"
"12","IRF2","-1.904"
"13","MSX1","0"
"14","NAT2","-0.657"
"15","NCOA1","-0.023"
"16","PAPPA","-0.055"
"17","PDHA1","0.02"
"18","PFKP","0.015"
"19","PTGDS","-0.034"
"20","RERG","-0.041"
"21","SOD1","0.006"
"22","TGFBR1","-0.322"
"23","TPBG","0.037"
"24","YTHDC2","-0.014"
