"Publication > First Author","Publication > PubMed ID","Publication > Sgd Db Xref Id","Publication > Year"
"Aabo T","21527496","S000145178","2011"
"Aabo T","21895251","S000146656","2011"
"Aa E","16879422","S000117552","2006"
"Aalfs JD","11084367","S000074950","2000"
"Aalto MK","1523891","S000047824","1992"
"Aalto MK","1733497","S000042461","1992"
"Aalto MK","1767592","S000042363","1991"
"Aalto MK","8223426","S000051822","1993"
"Aalto MK","9207091","S000040510","1997"
"Aaron KE","12702354","S000073013","2001"
"Aas JA","17309593","S000121017","2007"
"Aasland R","7701562","S000065750","1995"
"Aasland R","8882580","S000057969","1996"
"Aas SF","2408022","S000047544","1990"
"Abadjieva A","10753950","S000061711","2000"
"Abadjieva A","11553611","S000066207","2001"
"Abaigar LT","1327149","S000039605","1992"
"Abajian C","15465825","S000080697","2004"
"Abajian C","16570183","S000114709","2006"
"Abascal F","18339638","S000125830","2008"
"Abastado JP","1883814","S000049402","1991"
"Abastado JP","1986242","S000039767","1991"
"Abate G","22306658","S000148336","2012"
"Abazeed ME","15572353","S000081247","2005"
"Abazeed ME","18784256","S000127720","2008"
"Abbas A","8473299","S000043654","1993"
"Abbas-Terki T","10561593","S000063609","1999"
"Abbas-Terki T","10664467","S000048804","2000"
"Abbas-Terki T","11604493","S000066238","2001"
"Abbas-Terki T","12437126","S000071632","2002"
"Abbott A","12087375","S000141361","2002"
"Abbott DA","15538553","S000138665","2005"
"Abbott DA","17484738","S000122617","2007"
"Abbott DA","18676708","S000127294","2008"
"Abbott DA","19251894","S000129520","2009"
"Abbott DA","19416100","S000130263","2009"
"Abbott DA","19566685","S000130817","2009"
"Abbà S","21672957","S000145696","2011"
"Abdallah P","19597486","S000134919","2009"
"Abdeeva IA","15856943","S000082193","2005"
"Abdelal AT","14923","S000132215","1977"
"Abdel-Fattah W","23645155","S000153547","2013"
"Abdel-Fattah WR","10797239","S000143601","2000"
"Abdel-Ghany SE","15848163","S000081625","2005"
"Abdel-Megeed MF","22370339","S000148559","2012"
"Abdel-Megeed MF","22829337","S000150294","2012"
"AbdelRaheim SR","11361135","S000060303","2001"
"Abdel-Sater F","15126393","S000076171","2004"
"Abdel-Sater F","15509782","S000079773","2004"
"Abdel-Sater F","21310956","S000144328","2011"
"Abdelwahid E","20950655","S000138796","2011"
"Abdullaev ZKh","11879204","S000141974","2002"
"Abdullah MF","11724920","S000066235","2001"
"Abdullah MF","15467363","S000077475","2004"
"Abdullah U","19633267","S000131055","2009"
"Abdulovic A","16412705","S000114247","2006"
"Abdulovic AL","16387871","S000114138","2006"
"Abdulovic AL","17442629","S000122392","2007"
"Abdulovic AL","18276637","S000125527","2008"
"Abdulovic AL","21429821","S000144772","2011"
"Abdulrehman D","20972212","S000139170","2011"
"Abe A","2209557","S000041128","1990"
"Abedi MR","9421525","S000115740","1998"
"Abedin Z","23117049","S000151754","2013"
"Abe F","11027279","S000059156","2000"
"Abe F","14560004","S000075017","2003"
"Abe F","15529753","S000138728","2004"
"Abe F","16217550","S000086835","2005"
"Abe F","17910955","S000124332","2007"
"Abe F","17928722","S000124397","2007"
"Abe F","18245339","S000125451","2008"
"Abe F","19118519","S000128757","2009"
"Abe F","19670905","S000131185","2009"
"Abe F","9680307","S000044280","1997"
"Abe F","9783169","S000053844","1998"
"Abe H","10747048","S000050441","2000"
"Abe H","12626410","S000072797","2003"
"Abe H","14734022","S000075757","2004"
"Abe H","19129247","S000128875","2009"
"Abe H","19502721","S000130665","2009"
"Abe H","19664552","S000131196","2009"
"Abe H","7531413","S000042684","1994"
"Abe I","9714566","S000078819","1998"
"Abe I","9826565","S000046658","1998"
"Abeijon C","2476806","S000063222","1989"
"Abeijon C","8391537","S000057722","1993"
"Abeijon C","9763440","S000048767","1998"
"Abele U","7670369","S000061529","1995"
"Abeliovich H","10545112","S000053954","1999"
"Abeliovich H","11086004","S000059364","2000"
"Abeliovich H","11528006","S000120910","2001"
"Abeliovich H","12589048","S000072723","2003"
"Abeliovich H","17329958","S000121166","2007"
"Abeliovich H","19556866","S000135166","2009"
"Abeliovich H","21194383","S000142194","2011"
"Abeliovich H","9565594","S000041811","1998"
"Abel MG","9727865","S000064072","1998"
"Abel MG","9824658","S000043935","1998"
"Abelovska L","17612610","S000123233","2007"
"Abelovska L","21869447","S000147039","2011"
"Abelson J","19050716","S000135439","2008"
"Abelson J","20305654","S000133558","2010"
"Abelson J","20580958","S000134632","2010"
"Abelson J","9582290","S000058320","1998"
"Abe M","10570930","S000042808","1999"
"Abe M","11337502","S000060998","2001"
"Abe M","12847085","S000073632","2003"
"Abe M","15494368","S000077547","2004"
"Abe T","18305111","S000136074","2008"
"Abe T","21256165","S000143552","2011"
"Abe Y","10721992","S000061572","2000"
"Abe Y","18081866","S000125053","2008"
"Abhishek A","21217797","S000143199","2011"
"Abidin ZZ","17482703","S000122624","2007"
"Abid MR","10585489","S000051741","1999"
"Abid MR","9163530","S000058118","1997"
"Abid R","9285099","S000046348","1997"
"Aboka FO","19220865","S000129377","2009"
"Aboka FO","22407762","S000148759","2012"
"Abolmaali S","18243380","S000125435","2008"
"Abou Elela S","9649443","S000046699","1998"
"Aboussekhra A","15902273","S000081748","2005"
"Aboussekhra A","1620127","S000044122","1992"
"Aboussekhra A","2552405","S000044473","1989"
