"","Semi-HM","SVM 0 %","Forest 0 %","Lasso 0 %","SVM 20 %","Forest 20 %","Lasso 20 %","SVM 50 %","Forest 50 %","Lasso 50 %"
"0.01",0.592945024127568,0.503614209142866,0.508584404944944,0.554600582009349,0.497057586455051,0.505347069864239,0.555529092270588,0.498457302411405,0.502397595372926,0.553900336126996
"0.015",0.59765814468687,0.509673337000399,0.518926839097196,0.579232617471117,0.50075402922201,0.508287800869082,0.558407100288874,0.498876067679387,0.508748237618871,0.560508306780289
"0.02",0.618577944360214,0.517006630804307,0.52465984925126,0.607059260088642,0.509272338260609,0.517872992973978,0.597710608925249,0.501246523484239,0.50990525869279,0.586737742655798
"0.025",0.624558388868546,0.52350128927275,0.529710151458255,0.620428589310302,0.509513505319942,0.521158880133109,0.617662111176914,0.506327549979414,0.514093439244868,0.588715513342379
"0.03",0.623041152962265,0.535873109413729,0.535645111032425,0.660436860741565,0.516522993427827,0.525663406069727,0.64178357609385,0.505209379399644,0.515575111243564,0.635701533260027
"0.035",0.630809074614626,0.528698055906723,0.534807775964643,0.657517834640765,0.515015601901691,0.524129868189942,0.646598594850188,0.50214508224865,0.512936443279125,0.64279466970482
"0.04",0.633311039639601,0.529187508837989,0.538887471370077,0.667499414241316,0.515336540666525,0.52591364174599,0.656087006600206,0.502788392526851,0.512910336548849,0.646816760939972
"0.045",0.63159489061095,0.533100085262162,0.539074454465573,0.668882147876399,0.512931514425195,0.525083834525165,0.658296549362184,0.500896668541604,0.514393783756209,0.645189873417721
"0.05",0.635465995378591,0.538644778841769,0.542108031598175,0.680495612682497,0.519335866073107,0.52630783575713,0.665976559162295,0.502629173600999,0.515229445123431,0.653442754923376
"0.055",0.639150499361098,0.546322293855159,0.547929094584433,0.682715660468763,0.517928857706757,0.529157043679992,0.67023217980125,0.506172308196148,0.51834743418063,0.656729563204344
"0.06",0.636445093043196,0.548640308639582,0.547722393497154,0.687532122128721,0.519595410337142,0.530552464080995,0.67423130482,0.508562935544918,0.519307653345208,0.668697172436825
"0.065",0.639658855120225,0.548736257939615,0.549265329983468,0.686152233968503,0.516987423461046,0.531098393117677,0.677880290780248,0.506336815217667,0.517774836266856,0.66591163626009
"0.07",0.647962872993501,0.550020740773325,0.550524435842168,0.691609653367351,0.521395278038016,0.533032855037191,0.682330615830812,0.505705939295743,0.518778414357017,0.67397103583533
"0.075",0.643251011071386,0.548423159095254,0.553701562451368,0.687688397887089,0.519890316387181,0.529967092646682,0.682473322349086,0.504489456378578,0.517215157586213,0.671429783005918
"0.08",0.643508581116166,0.55549010681181,0.55283414380813,0.699447511359012,0.526175707610845,0.534483088224312,0.688321247338956,0.505596408862532,0.518270200148258,0.675156153294033
"0.085",0.648148884025166,0.546209893048128,0.552465571455855,0.696072133398814,0.523750007278097,0.535435579528636,0.690077590332824,0.505335899104866,0.517912558745021,0.676811030628027
"0.09",0.649565894230266,0.559344512125043,0.559545138489829,0.701360148258821,0.525708845093001,0.534989126334897,0.693241395365284,0.50453816764983,0.520619735379041,0.676435627785504
"0.095",0.647018801794635,0.560393516581111,0.558755033385411,0.699529576079679,0.518897472794477,0.535475846723967,0.692346917642453,0.505211612851687,0.518913518113972,0.680935609447348
"0.1",0.654385884265049,0.558715159264386,0.557026659715838,0.700442422598647,0.527197448958012,0.535865571809234,0.691386456879415,0.503477249733361,0.517553863520828,0.684709326375806
