"","Semi-HM","SVM 0 %","Forest 0 %","Lasso 0 %","SVM 20 %","Forest 20 %","Lasso 20 %","SVM 50 %","Forest 50 %","Lasso 50 %"
"0.01",0.623577501823623,0.492715904502322,0.503527145552812,0.53882189698551,0.492819319640565,0.501303876376084,0.539582117711129,0.492629148983792,0.49891379242244,0.545736044000306
"0.015",0.625835346925604,0.493768439506652,0.511014433923692,0.576877238601456,0.493152414088375,0.504838265183093,0.546433861704798,0.493161417809065,0.505111769791281,0.549035692231691
"0.02",0.64403639517593,0.499537518244125,0.521201332898678,0.632570506792809,0.494355884903461,0.511793502447708,0.616038635655395,0.493422382158621,0.506808968710358,0.605804880928085
"0.025",0.639088978396192,0.503875328576793,0.525087244961822,0.658652897734385,0.496855573953436,0.517476643420878,0.636718325094574,0.494900396103461,0.510789915080123,0.604121919955867
"0.03",0.631345695288825,0.529691941929283,0.532898224492893,0.670105215235975,0.497340186908265,0.517466573273709,0.653465735184064,0.494681118909864,0.513325077844804,0.635766218951998
"0.035",0.644868029843288,0.516604903224225,0.535534743085184,0.671255950837049,0.500831861050875,0.521425701673509,0.656712320299985,0.494165340075538,0.511354059368855,0.650045260167931
"0.04",0.646539332645925,0.520905908060143,0.53719490229958,0.674523058248669,0.500404174015285,0.525330844184272,0.670546841449127,0.494822345671596,0.507837489473956,0.661020807578119
"0.045",0.647879100376877,0.530212008145535,0.542345569887595,0.674244308685529,0.498856981830444,0.52393082154299,0.671624494784386,0.494209329493719,0.512271755811637,0.662463816655743
"0.05",0.64675902805154,0.539203825097723,0.5422334332308,0.679822820376975,0.505126448297076,0.524719312336586,0.673851989592768,0.495730239321129,0.51173175187227,0.665600784012898
"0.055",0.649874309786712,0.553870550158363,0.547719100590656,0.686876427943703,0.502452725454892,0.527523978116722,0.67411997281903,0.496576947656065,0.51313667427345,0.667893038337417
"0.06",0.647850381334537,0.558821897769332,0.549441902250488,0.689111492440205,0.512021262387185,0.529559557017179,0.677299046246951,0.496542079483469,0.515764777913837,0.673979182901035
"0.065",0.64945049635868,0.550687918733142,0.550824958670495,0.688294777255721,0.504340734519448,0.530684464480448,0.680975515833957,0.495181748723544,0.516727141499832,0.675185583025321
"0.07",0.655347049907027,0.551920116130735,0.552306668719483,0.695303633484362,0.516780732251154,0.530979640877024,0.684577682615665,0.49672832979763,0.514955225861671,0.677012032835131
"0.075",0.652199671684653,0.551768984851247,0.554395394903581,0.690362067202305,0.511374880569002,0.527478207388949,0.683526578928854,0.495291080008162,0.513414016268759,0.677150868625596
"0.08",0.654615504761195,0.564158747394902,0.554410005822829,0.701600266186452,0.520916984613334,0.535538510320773,0.692859785232339,0.497116323673032,0.515136138468236,0.676990598562133
"0.085",0.653674613444959,0.554189573556695,0.555532156044236,0.696694302721088,0.519597585302204,0.533260319467686,0.693015123302602,0.497588692292534,0.516156597655574,0.680028185667111
"0.09",0.654890673222786,0.562538213998391,0.55801574531663,0.704860073554764,0.524935759918904,0.533120181993918,0.693166093024352,0.496545445180681,0.518593758047852,0.678718524376093
"0.095",0.652321209863761,0.561223054532604,0.555932768850203,0.701838464364096,0.513266292128796,0.535077860944311,0.695865739334295,0.497435377472985,0.517849735917927,0.683583896370446
"0.1",0.65692918091307,0.562974860777953,0.557664580243913,0.703651650763124,0.523324330366584,0.537305816883282,0.690774375985644,0.496118786320186,0.515027087507351,0.68455980931591
