"","Semi-HM","SVM 0 %","Forest 0 %","Lasso 0 %","SVM 20 %","Forest 20 %","Lasso 20 %","SVM 50 %","Forest 50 %","Lasso 50 %"
"0.01",0.00792077424068274,0.000653423269826056,0.000302612643744258,0.00488073170209134,0.000251856500153155,0.000228757767541184,0.00523872257272266,0.000382916107450881,0.000154538454725149,0.0046604301525329
"0.015",0.00766495869293332,0.0011937653382069,0.000548628450641478,0.00601651719865085,0.000371293134887695,0.000275142100169372,0.00509133570736522,0.000220982137580443,0.000286775830283558,0.00436677277237005
"0.02",0.00458008849263288,0.00103873611189738,0.000477733894421262,0.00570364753093332,0.000900354001099634,0.000429476598181842,0.00510460359026821,0.000382295956360206,0.000271322603345301,0.00544723109492387
"0.025",0.00316660105047496,0.00158391986728084,0.000587841687803774,0.0059332406028521,0.000594845040914828,0.000370197174290036,0.00472893744816485,0.000550920556595485,0.000327247223339677,0.00587750544844725
"0.03",0.00331964365676865,0.00174110522616878,0.000598900056367522,0.00113718157223503,0.00108688225334139,0.000519409292020116,0.00202628247184013,0.000545134452418338,0.000347043919349928,0.00164894604486764
"0.035",0.00190296037469313,0.00144372741205532,0.000490219261971574,0.00193151515771164,0.000863758486813966,0.000424746564542377,0.00215555718585764,0.000469823764648537,0.000234311682212146,0.00155265500865032
"0.04",0.00157711998368747,0.00129454173839505,0.000496335473043068,0.00104666503962134,0.000898404706137973,0.000385392073905519,0.00151747508785828,0.000375286079359637,0.000295851665875492,0.00185623853584915
"0.045",0.00239113453377825,0.00161209967611575,0.000562104682803509,0.00125667893521622,0.000669966792863486,0.000437307986592366,0.0014136790372574,0.000377355011950252,0.000292538610271417,0.00218305272089628
"0.05",0.00130556660118099,0.00141598880520566,0.000413999874588486,0.000586295645092798,0.000981966777205264,0.000438116454964524,0.000873685477711699,0.000330519716165672,0.00026300160848763,0.00170755615123899
"0.055",0.00136780165604063,0.00113833566577312,0.000434394999985701,0.000563740803464593,0.000961088662726504,0.00046603506561365,0.000876630196734211,0.000541679422841937,0.000334878861673258,0.00136515646937802
"0.06",0.00164622651075005,0.00123971817861912,0.000373573583248359,0.00028366974839555,0.000913924418019664,0.000411423453768884,0.000867392314756907,0.000670437927901364,0.000327937722493051,0.00106325487717607
"0.065",0.00126904190774505,0.00143078663887541,0.000506256062207647,0.000571841390192693,0.000796227680465921,0.000423566171722536,0.000657468558724092,0.000482814130139399,0.000281975660163906,0.00159823211383855
"0.07",0.000643586136201925,0.00116940263366471,0.000401503959861189,0.00041772063724733,0.000782942869298836,0.000395369225824569,0.000408094129806641,0.000443995624828841,0.000330560172498241,0.00067106661702127
"0.075",0.00114102162843138,0.00117037121279025,0.00044562569768934,0.000942290270151037,0.000864072342488456,0.000427127135526907,0.000468387627213753,0.000384829200895287,0.000265681762620772,0.00101459867433293
"0.08",0.00129353286795802,0.00117247404261809,0.000389167062749745,0.000298302028238143,0.00109050068130296,0.000399353918078457,0.000396818827238281,0.000406666603829175,0.000236261813560893,0.000531883961709038
"0.085",0.000205319504544662,0.0012524812873778,0.000483846569487119,0.000411844064108041,0.000808633168590001,0.000377190432335388,0.000491497097769804,0.000349113124610408,0.000235453846267079,0.000569178694521239
"0.09",0.000343035452013003,0.000907553660286439,0.000341903206047474,0.000246600628428126,0.000775510129768568,0.000363031318624099,0.000340708198133738,0.000406000889375429,0.000299758223019675,0.00082359086123863
"0.095",0.000742430539446491,0.000798229117400526,0.000389202450675693,0.000313273156934154,0.000620170581826985,0.000282557149845687,0.000624761495257339,0.000376068603666755,0.000280649580926578,0.000564415874463726
"0.1",0.000183603401482663,0.00089764186056639,0.000372766415571908,0.000325687743644982,0.000886026075794797,0.000369881820363753,0.000262579117909921,0.000368551156777736,0.00024920519267038,0.000476837577144648
