feature	group	family	K	rocauc	decreasing	bic	iclbic
intxn_partners	integer	nbinom	3	0.673836826990975	TRUE	-29121.0162667055	-31559.9718577579
nucleus	binary	bernoulli	2	0.601548278471092	TRUE	-5175.64076269577	-9320.04173459702
in_how_many_of_6_close_yeast_blast	integer	poisson	2	0.558015921803271	TRUE	-12125.1652670292	-15114.7013848351
gc	closed	gamma	2	0.556091287290984	FALSE	13947.4949192926	11121.3492887378
blast_hits_in_yeast	integer	nbinom	2	0.55530562500863	FALSE	-7644.02484940738	-7981.12147904723
l_aa	integer	nbinom	3	0.553630021631902	TRUE	-49572.3481929311	-54415.4593475713
cytoplasm	binary	bernoulli	2	0.550053591690836	FALSE	-5696.1602557305	-10398.5180067987
nc	open	normal	2	0.549962645329666	FALSE	-22231.3913626464	-23014.0374527375
other	binary	bernoulli	2	0.540888007889002	TRUE	-3956.29353639751	-7215.37894619176
mitochondria	binary	bernoulli	2	0.540556125094577	FALSE	-2611.43333507708	-5251.83623800952
gravy	open	normal	2	0.537636318357975	FALSE	-2617.08829155966	-3868.27653436852
dovexpr	open	pvii	3	0.536376877911414	TRUE	-13337.3457019476	-15040.5182842973
tm_helix	integer	nbinom	2	0.535047918256839	FALSE	-4899.69133709913	-5073.86128500001
cai	closed	gamma	2	0.529786837918823	TRUE	9741.17904107568	8662.58990161965
close_stop_ratio	closed	gamma	2	0.514309767115415	TRUE	18834.5675563267	18748.586810238
chromosome	integer	poisson	2	0.50950151394741	TRUE	-19922.303657903	-20966.1990958177
vacuole	binary	bernoulli	2	0.508224455619366	FALSE	-1060.4951295808	-3248.70717056925
rare_aa_ratio	closed	gamma	2	0.503619522326855	TRUE	17505.3352983713	14317.9677800594
chr_position	closed	gamma	2	0.501213014948058	TRUE	-289.358170661312	-2438.66509956642
in_how_many_of_5_proks_blast	integer	poisson	2	0.498523669147614	FALSE	-897.269012732514	-1446.80869974311
intron	binary	bernoulli	2	0.496500945889772	FALSE	-1282.03187600912	-3521.3380268671
er	binary	bernoulli	2	0.494374896137827	TRUE	-1614.85185329639	-3938.97370404129
