"","Semi-sup","SVM 0 %","Forest 0 %","Lasso 0 %","SVM 20 %","Forest 20 %","Lasso 20 %","SVM 50 %","Forest 50 %","Lasso 50 %"
"0.01",0.583274948558929,0.493336643293109,0.50803247643231,0.546043384739629,0.492764373516941,0.505175633096044,0.555253919165986,0.492629148983792,0.50247523666159,0.518565494050118
"0.015",0.586072012049671,0.493775057873945,0.519724205281163,0.606426532691303,0.493425047858545,0.508037775032849,0.582412661230395,0.493036186241818,0.50555588489564,0.500195875015438
"0.02",0.595182097287553,0.494827734835206,0.522802307504045,0.629873893833808,0.493533510751098,0.514432865496028,0.618286972737202,0.493292825671993,0.508208078722323,0.606043985177537
"0.025",0.596631758818503,0.496449618225059,0.527259481787458,0.650278382776317,0.494381931938586,0.517644843020422,0.620406237284312,0.494070870677189,0.509120976852387,0.597984648709165
"0.03",0.599419778670669,0.508350700591836,0.53457281602509,0.672228994890991,0.493604723481396,0.51692339534381,0.643717080511663,0.492797171895714,0.50990735697623,0.633498186190383
"0.035",0.600549101512814,0.505773154398054,0.535285068326127,0.670392045535774,0.494980246519318,0.517499214496531,0.660702420380853,0.493112650997284,0.508408246714736,0.637888743223981
"0.04",0.598706575978999,0.510212844578352,0.538382676406259,0.668703919886791,0.494993818821636,0.523921056032955,0.660678063800601,0.493566070884673,0.508867434554091,0.645572421817446
"0.045",0.600146217403109,0.517384094304644,0.540908107206087,0.672326822641667,0.498946164688549,0.525288353510295,0.665801487401206,0.493894169159905,0.509840480795785,0.646608313929606
"0.05",0.601756896673497,0.529219086478522,0.545068254482866,0.672547701699311,0.497044395218484,0.524524924380949,0.669931921492899,0.49528871740864,0.511126623067055,0.653275821718327
"0.055",0.602778632613374,0.536152456822606,0.54649414006812,0.675148836567297,0.503841259673482,0.532162434428074,0.670969328353041,0.496872573655108,0.517072401444721,0.662007992891788
"0.06",0.601415893438027,0.535529584243568,0.549931759327482,0.681781410098973,0.509091690349928,0.530623114279584,0.673564279802593,0.498108093064678,0.520179505733051,0.671418512746299
"0.065",0.603189460515074,0.542232772122161,0.554018206734534,0.679223494735926,0.499828207498784,0.530082222491484,0.674762492025896,0.495639891399041,0.513580758571497,0.669563538045577
"0.07",0.601825410300522,0.551084051818942,0.555299564509744,0.682813805920908,0.5023900790694,0.52945437460719,0.673083661737935,0.495566639433738,0.516835785441139,0.671745092923787
"0.075",0.6031351955698,0.542765936870562,0.555964404654451,0.685412711257742,0.511019424416348,0.535101933363744,0.672890128020952,0.495927303040421,0.513667635928544,0.667892446713785
"0.08",0.604990670001469,0.542578029276013,0.556182989696516,0.68795764847651,0.515398441458178,0.533596938980664,0.68092141920823,0.494854801322555,0.514458387753421,0.668483415110546
"0.085",0.604587272394394,0.550677089017425,0.557688984684783,0.690021178926116,0.508750018923051,0.530011085996826,0.681551247698666,0.497679459695093,0.519469906425974,0.673230184938583
"0.09",0.605915677145996,0.550987817492242,0.55913285829215,0.68618089874727,0.51311028077041,0.533889000212169,0.686664584266484,0.494683948530102,0.514393271465232,0.671893642613246
"0.095",0.604490218731718,0.552374816333743,0.558764193449392,0.691697878305993,0.509524693417496,0.529837295067046,0.679904111461324,0.497447053003838,0.517145824307841,0.672237431137412
"0.1",0.606811695973175,0.560697055408203,0.559619207300249,0.688507473902104,0.518192941432378,0.531188331188331,0.687133612485725,0.497163225282338,0.519184596254099,0.676815137107144
