"","Semi-sup","SVM 0 %","Forest 0 %","Lasso 0 %","SVM 20 %","Forest 20 %","Lasso 20 %","SVM 50 %","Forest 50 %","Lasso 50 %"
"0.01",0.00410927448098727,0.000844519625592865,0.000420726108461766,0.00537187880770265,0.000338185228856045,0.000277110427920783,0.00554476792229212,0.000577488492101564,0.000273401074793463,0.0041145715571516
"0.015",0.00348350548442189,0.000823222162164363,0.00046709536737539,0.0048393461718782,0.000385033750860227,0.000438928792014227,0.0049825866121453,0.000246934476606265,0.000328830973033597,0.00452822607516272
"0.02",0.00292667691665339,0.000903937126769664,0.000546478579265699,0.00544180823675152,0.000516847250750281,0.00050542618297371,0.00601415004911473,0.000299553355700938,0.000276146853031608,0.00535100100254597
"0.025",0.00373911409108307,0.00118214559486874,0.000499412481972463,0.00416368845203234,0.000859618648932709,0.000518874896378082,0.0058218319523912,0.000587889199540801,0.000456773754132478,0.00613873291870467
"0.03",0.00348139460881267,0.00101592742851403,0.000625521854665035,0.00181223713691554,0.000591187682010485,0.000411640683257142,0.00212298591544177,0.000634970612343835,0.000336266072874303,0.00275961562753451
"0.035",0.00310811838609051,0.00115842177439065,0.000512731968787474,0.00123986953442087,0.000620043518325505,0.000475679355026581,0.00129104335157306,0.000294007269290363,0.000243695957998341,0.00200880520528552
"0.04",0.002308712726529,0.00101161659839025,0.000648579379007561,0.00161369904928221,0.000708715147397301,0.000417533973984649,0.00157907853895848,0.000263737617656881,0.000305990133412864,0.0017047502709695
"0.045",0.0029501289011564,0.000985292795619763,0.000575770595584866,0.00110294960276358,0.000610528457771095,0.00035509907773673,0.00163689530952719,0.000241207511749263,0.00035222391649655,0.00196571401407069
"0.05",0.00229928830350133,0.00124933177752844,0.000461226757145561,0.000627121065364482,0.000577925657390099,0.000336583262796294,0.00101791684873568,0.000266387543506907,0.000248802043416596,0.00144708632303387
"0.055",0.00197306615907945,0.00105420057229077,0.000361066401221523,0.000747019478627708,0.000705799968956384,0.000412122634574129,0.000498358714988726,0.000411427670818952,0.000297973551546735,0.00135073440976323
"0.06",0.00233093368972837,0.00121479315411978,0.000515866672560671,0.000820750798689367,0.000778482217692072,0.000462854402592655,0.000815233958163731,0.000246893521379365,0.000343996785811208,0.00152221892267398
"0.065",0.00193811119777467,0.00109192761146652,0.000526797773546111,0.000254310613453206,0.000480339187734439,0.00027907555070787,0.000543024970955215,0.000168090529090621,0.000203608523030765,0.00160389893526219
"0.07",0.00146836916810313,0.00118003302671068,0.000391125154663882,0.000416277306614551,0.000617940932591136,0.000397478679497771,0.000496643964994562,0.000248255471157676,0.000235828000366673,0.00105160495376443
"0.075",0.00111494893390018,0.00110442962082518,0.000394496423674482,0.000407568708181672,0.000664400411495564,0.000403801917675551,0.000559947175773374,0.000295580837474391,0.000305736142079045,0.00120019121203804
"0.08",0.000548425831378853,0.000898032724955718,0.000375953402056513,0.000358048199289879,0.000638823001173135,0.000381246745636578,0.000377986114747747,0.000198600424202303,0.000254030751628724,0.00109160456701948
"0.085",0.0010580982688475,0.000980023667370628,0.000343927140707508,0.000295372465667854,0.000532770182520091,0.000338413801301247,0.000557607041396544,0.00027795504093646,0.000219600101903163,0.000459621316623125
"0.09",0.000455838058261402,0.000995407367601132,0.000419750607094716,0.000175522340197164,0.000619284740021553,0.000350447328115565,0.000595397114493687,0.000176794339712143,0.00023638010609049,0.00104342111160933
"0.095",0.000464309863255767,0.00107446185785369,0.00032091886322792,0.000238523072429829,0.000736526203393435,0.00031206499019731,0.000356157750733158,0.000295289203787732,0.000192699249944231,0.000472182103064054
"0.1",0.000180634671153144,0.000814094920599666,0.000324458847527484,0.000282129251862032,0.000693749463185726,0.000353922869302202,0.000389390217972165,0.000307728812609668,0.000292398916782266,0.000919971003848508
